DATETIME,EI2001C,EI2001A,EI2001B,RI2001,SI2001,EI2001D,EI2002C,EI2002A,EI2002B,RI2002,SI2002,EI2002D,EI2003,EI2004,EI2005,EI2006A,EI2006B,EI2006C,EI2006D,LI5001B,ZI5001,LI5001A,WD0_PAR_AI0041,SEKI_LVL,ZI5003,LI5002A,LI5002B,LI5002C,FI6001,FI1013,WD0_PAR_AI0013,LI5004A,LI5004B,LI6002A,LI6002B,PD0_PAR_AI0001,FI7002,LI7001A,LI7001B,LI7001C,NI1005,FI7004,LI7008A,LI7008B,LI7008,ZI1008A,ZI1008B,FI7007,LI7006,WI7003A,WI7003B,LI3005A,LI3005B,PLC31_PAR_AI0006,PLC31_PAR_AI0009,PLC31_PAR_AI0121,PLC31_PAR_AI0003,FI3005,TI1007,LI3006A,LI3006B,PLC31_PAR_AI0026,PLC31_PAR_AI0029,SI3007A,PLC31_PAR_AI0023,FI3007,SI3007B,PLC31_PAR_AI0046,PLC31_PAR_AI0049,PLC31_PAR_AI0123,PLC31_PAR_AI0043,FI3008,LI3001A,LI3001B,PLC31_PAR_AI0066,PLC31_PAR_AI0069,PLC31_PAR_AI0124,PLC31_PAR_AI0063,FI3002A,FI3002B,PLC31_PAR_AI0086,PLC31_PAR_AI0089,PLC31_PAR_AI0125,PLC31_PAR_AI0083,FI3003,PLC31_PAR_AI0106,PLC31_PAR_AI0109,PLC31_PAR_AI0126,PLC31_PAR_AI0103,FI3004,TI1002,NI1002B,YI1002,CI1002,AI1002,NI1003,YI1003,XI1003,AI1003,PD0_PAR_AI0032,NI1004,YI1004,XI1004,YI1001,XI1001,NI1006,YI1006,XI1006,YI1005,FI1009A,FI1009B,LI1009,FK0_PAR_AI0091,PLC01_PAR_AI0001,PLC01_PAR_AI0002,PLC01_PAR_AI0003,PLC01_PAR_AI0004,PLC01_PAR_AI0006,PLC01_PAR_AI0007,PLC01_PAR_AI0008,PLC01_PAR_AI0009,PLC01_PAR_AI0010,PLC01_PAR_AI0005,PD0_PAR_AI0042,NI1002,PLC31_PAR_AI0122,SI3008A,SI3008B,TI1014,NI1015A,NI1015B,NI1015C,NI1015D,CL0_U3.S06_PI02,UI1012,RI1012,DI1012,PI02,PI01,NI1020,YI1020
2023/10/30 00:00:00,8.02574348,6.55449343,90.36000824,99.70000458,59.9220314,-11.8782959,1.14744246,0.05849424,0.99000013,100.12993622,54.20499802,4.18499756,2.16396713,7.07426405,0.31211674,-0.00096769,2.62800002,0.008,2.60922742,1.71552014,-0.00302366,121.09503174,1.55207825,1.71591687,22.24672699,3.98460007,3.97129941,0.01270286,1054.57287598,762.81451416,710.50701904,-0.75000012,-0.75000012,3.39059973,3.42660427,4.75731468,1257.33068848,0.18821496,0.12664343,0.27789831,2.43161321,1168.56225586,2.18650031,2.20750022,2.20750022,100.29001617,100.25965881,291.0357666,2.16848731,0.59179366,0.39283359,5.87124729,11.77477074,-0.07274189,25.73440361,25.76001549,29.34815407,28.29110527,11.2899971,3.98730874,6.21743202,-0.06838401,0.0479168,1.7999872,0,0.01936,1.5400002,0.00000076,-0.00001599,0.00001907,0,0.01183918,4.75900507,0.00483865,-0.00839988,-0.04192013,0,0,0.04721965,0.11480153,0.09049869,10.4519825,10.56199074,1.38261247,10.6246767,-0.07966656,1.41000009,1.41000009,0.1547545,1.00137544,16.7958889,2.77400017,7.38303137,85.20064545,24.89503098,0.41979846,7.12297487,0.01157981,22.10903358,2.67102528,0.00174,7.26200056,0.50810254,7.25299025,0.70234376,0.00174998,7.28583384,0.60717368,7.42332315,0.67742401,0.14304009,205.03999329,66.99514771,0.00000004,0.03516484,0,6.61749363,-3000.7331543,-4.00097752,-4.00097752,6.82197809,6.82783842,0.61929184,2.67102528,2.77399993,0.03792,0.74361283,1.1963737,21.67350769,0.00923227,0.00900123,0.00779328,0.00636005,265585,0.34999999,0.00305445,0.02839957,265585,6750,1.26004386,7.44079876
2023/10/30 00:01:00,6.77754593,6.56456423,73.6300354,99.70000458,60.02296066,-20.24987793,1.1477325,0.05864401,0.99000013,100.12167358,54.20593262,4.18499756,1.99644911,5.67071199,0.31538323,-0.00099232,2.63679194,0.00796672,2.61992526,1.71640146,-0.00265467,122.26013947,1.58445716,1.71640038,22.24001312,3.98460054,3.97198105,0.01216336,986.49615479,691.1831665,707.32781982,-0.75000012,-0.75000012,3.38890052,3.42472315,4.41643906,1275.70690918,0.18598214,0.1280888,0.27754608,2.45840001,1020.86968994,2.18298078,2.20440102,2.20450068,100.29034424,100.25167847,292.48641968,2.15598416,0.59183848,0.39356163,5.86320257,11.78303242,-0.08172145,24.03802109,24.03056717,29.23575974,26.41859245,11.2899971,3.99203968,6.21013498,-0.04801267,0.06959667,1.79066896,0,0.0313344,1.5480001,0.00998717,0.01999987,0.02967614,0,0.0150689,4.75588369,0.00383232,-0.00006721,-0.0683231,0,0,0.02963157,0.09712961,0.08207998,9.76796818,9.85120296,1.37708175,9.93542004,-0.06000001,1.38967991,1.38199997,0.14931832,1.03851438,16.79401016,2.76796818,7.37400579,85.20320129,24.89499855,0.42916781,7.11900043,0.01111613,22.10580254,2.66675472,0.00150192,7.26203394,0.50480711,7.25098753,0.71182305,0.0015,7.2858386,0.60975748,7.42386484,0.67756104,0.13799998,205.02876282,66.9401474,0.07267401,0,0.00000009,6.61538506,-3000.7331543,-4.00097752,-4.00097752,6.82197809,6.82980824,0.61928403,2.66675472,2.76789141,0.0599168,0.75128055,1.18672013,21.65980721,0.00916671,0.00900511,0.0074,0.00623328,265585,0.34999999,0.00376008,0.0299999,265585,6750,1.10000014,7.44726753
2023/10/30 00:02:00,6.94597244,6.55879307,75.6000061,99.70000458,60.02283859,-19.98205566,1.14170134,0.05862077,0.99000025,100.12200165,54.20593643,4.18499756,1.89279997,5.86125851,0.31440464,-0.000808,2.63702559,0.0071936,2.6200254,1.71759689,-0.00308011,123.37133026,1.59588909,1.71759939,22.2480011,3.98520017,3.97250414,0.01244054,955.13879395,658.99963379,705.14685059,-0.75000012,-0.75000012,3.38880038,3.42498136,4.3077426,1271.2019043,0.18278398,0.12902398,0.27586663,2.58161688,999.24353027,2.18249989,2.20360041,2.20363116,100.29966736,100.25967407,289.10070801,2.14112115,0.59279233,0.39360008,5.86748409,11.78276157,-0.0782976,23.02047539,23.02047539,28.89803696,25.22985077,11.28993225,3.98814034,6.21416616,-0.03991999,0.068064,1.79999983,0,0.02534058,1.54001296,0.0179328,-0.02799934,0.0179328,0,0.00932121,4.76384544,0.00579841,-0.0224,-0.06839998,0,0,0.05995252,0.10327948,0.022,9.39050198,9.41250229,1.35762286,9.43044758,-0.07,1.46999979,1.46999979,0.15944266,1.09851575,16.79462433,2.73241878,7.39700031,85.19999695,24.89499855,0.42603871,7.12300062,0.01159987,22.10500336,2.68016124,0.0015,7.26699972,0.49840015,7.26588249,0.71800131,0.00150046,7.2850337,0.60631001,7.42399454,0.67429996,0.15599813,205.0269928,66.93900299,0.02936264,0,0,6.60879087,-3000.7331543,-4.00097752,-4.00097752,6.82549477,6.83213377,0.61714125,2.68016124,2.73278475,0.068064,0.75000012,1.17501926,21.86540604,0.00903227,0.00899995,0.00740005,0.00636006,265585,0.34999999,0.0035985,0.03033487,265585,6750,1.10000014,7.43997526
2023/10/30 00:03:00,6.70330238,6.56445646,74.37606049,99.69998932,60.02283859,-20.24987793,1.1474905,0.05849998,0.99057615,100.12838745,54.20484161,4.18499756,1.98880637,5.60452509,0.31499997,-0.00019974,2.63600993,0.00799872,2.61906743,1.71760023,-0.00307662,122.95578003,1.58849347,1.71728003,22.57832527,3.98640013,3.97369933,0.01226803,946.42932129,652.77227783,708.95837402,-0.75000012,-0.75000012,3.38773894,3.42409873,4.28258705,1255.67810059,0.17972641,0.12915,0.27381578,2.61432004,1110.29321289,2.18251681,2.20409632,2.20432019,100.29001617,100.2516861,291.38568115,2.12300348,0.59183204,0.39264002,5.86318398,11.78138828,-0.0672,22.58007813,22.59000587,28.66460037,24.69377899,11.2899971,3.98731661,6.21660089,-0.03961341,0.03999987,1.80633855,0,0.0311998,1.5400002,-0.008,0.00158723,0,0,0.00936234,4.76020002,0.00556032,0.0003199,-0.04006656,0,0,0.00002061,0.07287705,-0.05761281,9.28076458,9.29560471,1.35527444,9.21195412,-0.040016,1.39999998,1.39999998,0.15369381,1.11772585,16.78958511,2.72439981,7.38800001,85.19999695,24.89503288,0.42200646,7.1229949,0.01111946,21.80099869,2.68458319,0.0015,7.26683378,0.51188004,7.26299143,0.71560699,0.0015,7.28103876,0.60572433,7.4280324,0.67760009,0.14970976,205.03520203,66.96524811,0.05860816,0.02930403,0,6.62637377,-3000.7331543,-4.00097752,-4.00097752,6.82627296,6.8336997,0.61714292,2.68458319,2.72471857,0.03998387,0.75167787,1.18640018,21.96099091,0.00903867,0.00900001,0.00723994,0.00620641,265585,0.34999999,0.00040001,0.02838669,265585,6750,1.09680009,7.43662882
2023/10/30 00:04:00,6.7145834,6.54749966,72.39601135,99.70000458,60.02220154,-19.79846191,1.14725828,0.05849534,0.99000472,100.12200165,54.2057991,4.18499756,2.02732825,5.62889862,0.32100019,-0.00084025,2.63040733,0.008,2.61404133,1.71753609,-0.00308002,123.27368927,1.59271741,1.71753609,23.07166672,3.9863956,3.97260404,0.0128191,952.25878906,658.79730225,709.37158203,-0.75000012,-0.75000012,3.38800216,3.42288399,4.30789423,1230.81262207,0.17718074,0.12915,0.26954165,2.63167739,1136.37341309,2.18150067,2.20349693,2.20350051,100.29807281,100.25199127,291.07192993,2.10442114,0.59280002,0.39360002,5.86320019,11.78310013,-0.03991994,22.56000137,22.56000137,28.42513084,24.70116806,11.34000015,3.99207973,6.21893883,-0.05808256,0.04999987,1.79353595,0,0.03173674,1.53200018,0.00800001,-0.00798336,0.00800001,0,0.00867588,4.76479721,0.0048,-0.00999949,-0.04192,0,0,0.01192986,0.12554818,-0.04001367,9.26598358,9.26598358,1.34145141,9.16328049,-0.03200001,1.35001588,1.35001588,0.15135287,1.11761606,16.79080582,2.71399975,7.39700031,85.21600342,24.89579964,0.42216134,7.12383223,0.01120307,21.80416107,2.68363237,0.0015096,7.25317907,0.50809938,7.2570343,0.7098,0.0015096,7.28099966,0.60778803,7.4281621,0.67539823,0.13900612,205.02915955,66.94007111,0.00146286,0.03516484,0,6.61767006,-3000.7331543,-4.00097752,-4.00097752,6.8279171,6.83752918,0.61341554,2.68363237,2.71399808,0.04999987,0.75800008,1.18127847,21.41546631,0.0090016,0.00896933,0.00720646,0.00636774,265585,0.34999999,0.00091867,0.03192266,265585,6750,1.10000014,7.44127703
2023/10/30 00:05:00,6.94759512,6.56459999,75.60599518,99.70000458,60.02295685,-18.62817383,1.1463002,0.05864399,0.99000013,100.13672638,54.20400238,4.18499756,2.01605248,5.90071487,0.32050079,-0.00112902,2.6300323,0.008,2.61380172,1.71798396,-0.00266885,123.41338348,1.61189449,1.71805108,23.69227028,3.98578072,3.97202039,0.01283613,961.74127197,668.00006104,710.03198242,-0.75000012,-0.75000012,3.38780856,3.42251611,4.33213282,1206.00048828,0.17335747,0.12886991,0.26710883,2.63207936,1266.84558105,2.18048811,2.2030828,2.20302892,100.2900238,100.25965881,289.96829224,2.0820024,0.59260798,0.3934142,5.86613989,11.7894001,-0.08000001,22.80097389,22.8015995,28.45442581,24.94540787,11.33033371,3.99225426,6.2205081,-0.0600001,0.08959997,1.79840004,0,0.02812805,1.5400002,-0.00000307,0.02966385,0.02798077,0,0.00933163,4.75463247,0.00553728,-0.00032052,-0.04,0,0,0.02341728,0.07429486,-0.03993603,9.38960075,9.38005924,1.34496248,9.24807644,-0.02001597,1.30000305,1.3003999,0.1486714,1.12679994,16.78580666,2.70001888,7.37879992,85.19999695,24.89499855,0.41687837,7.12396622,0.01169344,21.80483437,2.66894794,0.0015,7.26702452,0.51140326,7.26903534,0.69775999,0.00151152,7.28100157,0.61200964,7.42880011,0.67636663,0.15599038,205.01017761,66.82502747,0,0,0,6.61977959,-3000.7331543,-4.00097752,-4.00097752,6.82979345,6.83955956,0.61196524,2.66894794,2.7000649,0.07999678,0.75193334,1.18037128,21.45647621,0.0092,0.00899488,0.00720124,0.00620001,265585,0.34999999,-0.00023997,0.03159959,265585,6750,1.10000014,7.4339757
2023/10/30 00:06:00,6.99588585,6.56459904,75.6057663,99.70000458,60.02299881,-19.3963623,1.1474905,0.05850115,1.06200469,100.12837982,54.20415878,4.18499756,2.20064163,5.8311758,0.32148018,-0.001,2.63900065,0.00783995,2.62184596,1.71681607,-0.00302368,122.93052673,1.586339,1.71680307,24.30672264,3.98460054,3.97189593,0.01264722,983.93280029,690.38916016,709.96148682,-0.75000012,-0.75000012,3.38763928,3.42398715,4.41994667,1180.84179688,0.17323878,0.12879103,0.26525825,2.65992308,1212.45422363,2.18000007,2.20340276,2.20270896,100.29162598,100.2519989,290.09997559,2.0596087,0.59260798,0.39360002,5.86257935,11.78946781,-0.04999744,23.26319504,23.26063728,28.3783226,25.41131973,11.33839035,3.98424816,6.22154903,-0.07799935,0.04999679,1.79678714,0,0.02133781,1.54160011,0.03959936,-0.01999999,0.03991987,0,0.00867605,4.7592392,0.00479994,0.00000051,-0.07800321,0.0000001,0,0.03834669,0.11217049,-0.09193357,9.58802032,9.5976038,1.34538925,9.41724205,-0.01,1.23999989,1.23999989,0.14474539,1.12078309,16.79031372,2.679667,7.38399935,85.19999695,24.89503288,0.4189665,7.12216139,0.01160001,21.80083847,2.66191483,0.00150038,7.26699972,0.51927561,7.26300001,0.68663305,0.00174008,7.28099966,0.60865176,7.42883253,0.67430884,0.13799961,205.02775574,66.91001129,0.0366322,0,0,6.62646246,-3000.7331543,-4.00097752,-4.00097752,6.82979298,6.83573151,0.61542356,2.66191483,2.6794467,0.04999936,0.75001287,1.17494249,21.56131363,0.00919999,0.00896676,0.00739717,0.00636005,265585,0.34999999,-0.00099839,0.03006699,265585,6750,1.10000014,7.44097042
2023/10/30 00:07:00,6.48126936,6.56457043,72.50511169,99.70000458,59.92280579,-20.24084473,1.15350056,0.05780328,1.06200469,100.13800049,54.20400238,4.18585205,1.91250706,5.47239208,0.32340065,-0.00083995,2.6329124,0.008,2.61575365,1.71751642,-0.00308,122.88887024,1.59590733,1.71726334,24.29999924,3.98510408,3.97152042,0.01268048,1002.36663818,708.35253906,710.29553223,-0.75000012,-0.75000012,3.38818407,3.42475748,4.48503876,1157.18835449,0.17151439,0.12816775,0.26283607,2.67966461,1046.91821289,2.18000007,2.20248342,2.20204139,100.29838562,100.2583313,289.68490601,2.03550029,0.59256804,0.39359847,5.85682964,11.78310108,-0.0796873,23.67965889,23.67965889,28.28709412,25.90026283,11.33967209,3.98445582,6.21396828,-0.05999949,0.07993331,1.79232001,0,0.03068908,1.5400027,0.02000002,0.01049662,0.03049664,0,0.00802603,4.75536728,0.00460647,0.0123776,-0.030016,0.0123776,0,0.01098335,0.10052047,-0.06241864,9.79001617,9.79001617,1.34374332,9.58808708,-0.02,1.29038692,1.29038692,0.15362208,1.12686992,16.77641106,2.65601325,7.3929944,85.19999695,24.89499855,0.41419849,7.12299395,0.01091136,21.80420113,2.65041161,0.0015,7.27600527,0.50652051,7.25699711,0.67164516,0.001548,7.29000044,0.60750002,7.4281621,0.66875613,0.15719838,205.01719666,66.88483429,0.03664173,0.00028132,0,6.61758089,-3000.7331543,-4.00097752,-4.00097752,6.82197857,6.82784033,0.61538458,2.65041161,2.65604234,0.07993331,0.75001335,1.18838668,21.45474625,0.00900128,0.009,0.00700025,0.0062,265585,0.34999999,-0.00023997,0.03192001,265585,6750,1.10000014,7.43495512
2023/10/30 00:08:00,6.53521585,6.56457186,72.36000061,99.69998932,60.02216721,-21.10314941,1.14731014,0.05835595,1.00740087,100.12200165,54.2041626,4.18499756,2.01520514,5.41633844,0.31751537,-0.00100512,2.63723016,0.00876799,2.62099671,1.71687698,-0.00307989,122.93410492,1.57164598,1.71681535,24.2996788,3.98460007,3.97080445,0.01283693,1012.43188477,719.31188965,710.54840088,-0.75000012,-0.75000012,3.38878059,3.42482018,4.52715826,1140.80175781,0.17100294,0.12809999,0.26173517,2.67806387,1114.53942871,2.1789999,2.20200038,2.20196104,100.29832458,100.25200653,289.3682251,2.01349998,0.59260803,0.39344671,5.86138487,11.78303242,-0.10575444,23.93296051,23.94016266,28.3868084,26.25290298,11.2899971,3.99209166,6.21400213,-0.04,0.0700032,1.79003096,0,0.02725163,1.54006422,0.0200832,-0.02799998,0.03199923,0,0.01186581,4.75959158,0.00500128,-0.03959676,-0.08967665,0,0,0.03241364,0.06463432,-0.05208001,9.89992237,9.8908968,1.34755087,9.73232746,-0.01,1.19999993,1.19999993,0.14500459,1.12695348,16.79779816,2.64167786,7.39219999,85.19999695,24.89499855,0.40636125,7.12283421,0.01122432,21.79999924,2.64085007,0.0015,7.27116156,0.51961976,7.23871183,0.66112006,0.00154994,7.28099966,0.61084843,7.42963886,0.67650735,0.18839836,205.02200317,66.9640274,0.03639561,0,0,6.6263814,-3000.7331543,-4.00097752,-4.00097752,6.81650496,6.82197809,0.61792278,2.64085007,2.64147878,0.07200014,0.75958717,1.18613172,21.52171135,0.009168,0.00899979,0.00697414,0.00620128,265585,0.34999999,-0.0015987,0.03135435,265585,6750,1.10000014,7.42825222
2023/10/30 00:09:00,6.91397476,6.54747105,77.08296204,99.69998932,60.02280807,-18.63000488,1.14726007,0.05849884,0.99000013,100.12999725,54.2040329,4.18499756,2.01229167,5.88175774,0.31701139,-0.00083867,2.62896299,0.007008,2.61200142,1.71640015,-0.00315322,122.02088165,1.58540201,1.71640015,24.29999924,3.98402023,3.9708035,0.01287871,1019.70904541,727.61767578,711.23193359,-0.75000012,-0.75000012,3.38822389,3.42528439,4.56417704,1129.21569824,0.170534,0.12745608,0.26138014,2.69000006,1018.35559082,2.1789999,2.20059681,2.20099998,100.29800415,100.25200653,288.72964478,1.9890002,0.59164029,0.3936384,5.86117029,11.77470016,-0.0799872,24.26040268,24.28561592,28.5914917,26.54709435,11.2899971,3.9920938,6.21403551,-0.0300032,0.02999998,1.80159676,0,0.01600619,1.5400002,0.02991998,0.0095968,0.05758068,0,0.00813538,4.75924253,0.0040701,0.00002957,-0.06960065,0.00000118,0,0.00840257,0.03507803,-0.0403902,10.0387373,10.05754852,1.36050403,9.89208603,-0.00999744,1.2099998,1.2099998,0.14754196,1.12676775,16.79005814,2.63400054,7.37819242,85.19998932,25.32220268,0.40500641,7.12303352,0.0115232,21.80096626,2.64125443,0.0015096,7.27100754,0.50731689,7.25694895,0.65064037,0.00150192,7.28099298,0.60871935,7.42896605,0.67209995,0.17980452,205.02200317,66.87522125,0.02196621,0.00001163,0,6.61802149,-3000.7331543,-4.00097752,-4.00097752,6.80869389,6.81572676,0.61791652,2.64125443,2.63400054,0.038,0.75001293,1.18028116,21.61299706,0.00899974,0.00896795,0.00696672,0.00636671,265585,0.34999999,-0.00100636,0.0316005,265585,6750,1.10000014,7.43342638
